Code,Name,Population,SEIFA score,"Percentage of population in decile 1  (0 - 10% of values)
309071256,Oxenford - Maudsland,15795.00,1034.25,0.0%,4.4%,10.7%,4.7%,9.8%,5.2%,19.8%,30.3%,10.3%,4.9%,7
309061249,Pacific Pines - Gaven,18320.00,1033.33,1.9%,0.0%,3.3%,2.6%,11.4%,24.8%,29.3%,19.9%,6.8%,0.0%,7
316061444,Palmwoods,10613.00,1038.24,0.0%,3.2%,0.0%,2.8%,19.8%,9.9%,28.5%,23.8%,9.1%,3.0%,7
309091265,Parkwood,8702.00,1030.05,0.0%,0.0%,8.9%,5.2%,17.7%,27.1%,7.8%,15.2%,18.2%,0.0%,7
316021423,Parrearra - Warana,9502.00,1027.99,0.0%,6.8%,0.0%,13.2%,17.2%,19.3%,7.3%,25.3%,7.9%,3.0%,7
314031393,Petrie,8690.00,1025.84,0.0%,6.6%,16.7%,3.5%,5.0%,22.3%,11.8%,13.8%,4.9%,15.4%,7
309031240,Runaway Bay,9068.00,1032.68,0.0%,3.6%,4.2%,12.7%,10.3%,21.9%,13.0%,15.2%,16.0%,3.2%,7
303041070,Salisbury - Nathan,7183.00,1037.49,0.0%,0.0%,6.1%,0.0%,5.4%,32.5%,32.0%,20.0%,4.0%,0.0%,7
302041044,Sandgate - Shorncliffe,6783.00,1030.83,0.0%,5.5%,9.2%,6.1%,6.6%,13.7%,16.6%,22.7%,10.1%,9.6%,7
305011110,South Brisbane,7235.00,1038.39,0.0%,0.0%,0.0%,0.0%,43.6%,0.0%,24.7%,19.5%,7.1%,5.1%,7
310041303,Springfield,6772.00,1026.84,0.0%,0.0%,7.8%,9.3%,7.3%,26.9%,25.4%,23.3%,0.0%,0.0%,7
311061334,Springwood,9279.00,1038.13,0.0%,0.0%,6.9%,5.9%,10.5%,3.2%,39.5%,26.3%,5.1%,2.6%,7
304031096,St Lucia,12574.00,1036.35,0.0%,0.0%,16.1%,4.9%,0.0%,27.5%,17.5%,12.2%,4.5%,17.3%,7
302021033,Stafford Heights,6856.00,1031.87,0.0%,5.4%,8.1%,14.4%,13.3%,0.0%,8.2%,15.3%,25.6%,9.6%,7
309041242,Tamborine - Canungra,14273.00,1037.98,0.0%,0.0%,0.0%,2.3%,22.4%,21.6%,23.6%,18.9%,6.1%,5.1%,7
306011142,Trinity Beach - Smithfield,13936.00,1037.28,0.0%,2.4%,2.4%,12.0%,9.6%,15.8%,20.2%,16.4%,18.0%,3.2%,7
311061335,Underwood,6341.00,1035.21,0.0%,7.6%,2.8%,7.1%,7.7%,8.3%,5.6%,54.7%,0.0%,6.1%,7
309071258,Upper Coomera - Willow Vale,31214.00,1026.69,0.0%,3.8%,8.2%,11.3%,18.8%,16.1%,3.2%,14.7%,18.6%,5.2%,7
312021357,Walkerston - Eton,8323.00,1026.29,0.0%,3.5%,3.7%,3.2%,19.7%,24.0%,25.3%,17.8%,2.7%,0.0%,7
316021424,Wurtulla - Birtinya,7838.00,1028.05,0.0%,0.0%,0.0%,14.1%,20.5%,16.1%,37.8%,5.8%,0.0%,5.7%,7
310041296,Bellbird Park - Brookwater,13763.00,1043.31,3.2%,6.3%,3.2%,10.7%,7.1%,9.6%,0.0%,9.0%,17.1%,33.9%,8
301011003,Birkdale,14923.00,1049.46,0.0%,2.8%,2.1%,4.9%,0.0%,23.9%,11.7%,25.8%,19.7%,9.1%,8
316011413,Buderim - North,16615.00,1042.23,3.5%,0.0%,11.6%,3.0%,15.0%,4.4%,5.5%,17.6%,15.1%,24.4%,8
303051073,Calamvale - Stretton,21249.00,1049.35,0.0%,0.0%,0.0%,0.0%,6.1%,21.9%,24.3%,33.6%,14.2%,0.0%,8
311061329,Daisy Hill,6638.00,1045.24,6.1%,3.9%,0.0%,10.1%,0.0%,10.5%,9.0%,18.4%,27.1%,14.9%,8
316071546,Diddillibah - Rosemount,3764.00,1038.97,0.0%,10.6%,0.0%,12.2%,0.0%,0.0%,7.2%,44.7%,15.9%,9.5%,8
303031060,Eight Mile Plains,15159.00,1041.00,2.2%,2.7%,0.0%,0.0%,13.8%,16.1%,22.0%,9.7%,30.0%,3.6%,8
304041098,Enoggera,8158.00,1045.11,0.0%,0.0%,10.5%,0.0%,21.7%,6.2%,17.9%,21.3%,8.1%,14.2%,8
306011140,Freshwater - Stratford,3566.00,1045.56,0.0%,0.0%,8.8%,0.0%,0.0%,31.4%,11.2%,20.5%,28.2%,0.0%,8
302021030,Geebung,4324.00,1051.56,0.0%,0.0%,0.0%,8.7%,0.0%,8.3%,34.8%,21.5%,26.8%,0.0%,8
317011449,Gowrie (Qld),6411.00,1040.01,0.0%,0.0%,6.6%,16.0%,0.0%,3.0%,27.8%,27.7%,18.9%,0.0%,8
311041320,Greenbank,12852.00,1042.96,0.0%,0.0%,9.9%,8.5%,5.8%,15.0%,9.0%,11.5%,26.9%,13.4%,8
309071252,Helensvale,16862.00,1042.56,0.0%,2.7%,10.5%,6.6%,2.7%,13.3%,18.5%,10.8%,23.5%,11.4%,8
310031288,Ipswich - North,4644.00,1048.69,0.0%,0.0%,0.0%,9.5%,0.0%,16.9%,41.8%,5.7%,20.8%,5.3%,8
312021347,Mackay Harbour,518.00,1051.87,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,8
301031015,Manly - Lota,7426.00,1045.85,0.0%,2.8%,0.0%,10.2%,10.6%,4.7%,40.5%,0.0%,15.9%,15.2%,8
301031016,Manly West,11425.00,1041.58,0.0%,0.0%,8.0%,0.0%,21.3%,11.5%,27.5%,8.0%,4.3%,19.5%,8
303031062,Mansfield (Qld),8722.00,1040.53,0.0%,4.6%,0.0%,9.1%,5.7%,11.0%,18.5%,40.6%,8.3%,2.2%,8
312011341,Moranbah,8735.00,1040.52,0.0%,0.0%,0.0%,17.7%,26.1%,2.9%,13.8%,2.7%,36.8%,0.0%,8
312021348,Mount Pleasant - Glenella,10709.00,1050.24,0.0%,0.0%,3.5%,2.8%,17.3%,11.3%,22.9%,15.1%,11.9%,15.2%,8
309051244,Mudgeeraba - Bonogin,18263.00,1050.54,0.0%,0.0%,7.0%,9.2%,5.2%,8.2%,13.4%,25.5%,20.2%,11.3%,8
314021389,Murrumba Downs - Griffin,17520.00,1040.40,0.0%,0.0%,10.8%,0.0%,6.2%,12.9%,41.5%,7.2%,13.3%,7.9%,8
313041375,Narangba,18573.00,1049.86,0.0%,0.0%,3.1%,12.0%,2.9%,14.0%,14.9%,22.9%,21.2%,9.1%,8
314021390,North Lakes - Mango Hill,30105.00,1050.64,0.0%,0.0%,7.0%,5.6%,2.1%,6.3%,24.5%,27.9%,20.7%,5.9%,8
302031038,Northgate - Virginia,6586.00,1045.27,0.0%,0.0%,9.9%,5.8%,14.2%,0.0%,3.4%,30.7%,36.0%,0.0%,8
302031039,Nudgee - Banyo,9620.00,1042.54,0.0%,0.0%,0.0%,9.5%,22.7%,9.8%,25.4%,10.2%,11.2%,11.2%,8
309071255,Ormeau - Yatala,19674.00,1044.36,3.8%,0.0%,0.0%,5.1%,17.5%,4.8%,13.1%,30.8%,15.5%,9.4%,8
310011275,Oxley (Qld),7815.00,1052.16,0.0%,0.0%,0.0%,4.9%,20.1%,7.3%,11.4%,15.6%,40.6%,0.0%,8
303051074,Pallara - Willawong,4702.00,1049.68,0.0%,4.1%,0.0%,6.8%,3.8%,5.6%,20.8%,34.8%,24.0%,0.0%,8
316051543,Peregian Beach - Marcus Beach,3761.00,1046.69,0.0%,0.0%,0.0%,0.0%,12.0%,23.3%,24.9%,20.0%,19.8%,0.0%,8
317011455,Rangeville,8312.00,1046.36,0.0%,0.0%,0.0%,0.0%,35.1%,11.4%,6.1%,20.5%,12.6%,14.3%,8
301021009,Redland Bay,15586.00,1044.07,0.0%,1.2%,8.5%,3.4%,9.9%,13.3%,17.6%,9.6%,27.8%,8.7%,8
309081261,Robina,23106.00,1045.32,0.0%,0.0%,1.5%,7.9%,7.6%,18.0%,20.7%,20.0%,18.2%,6.1%,8
311061332,Rochedale South - Priestdale,15452.00,1048.09,0.0%,0.0%,3.2%,4.1%,16.6%,4.5%,19.8%,25.7%,20.7%,5.3%,8
316051437,Sunshine Beach,6534.00,1043.94,0.0%,0.0%,8.4%,0.0%,19.3%,5.9%,30.2%,10.0%,9.5%,16.7%,8
301031018,Tingalpa,8708.00,1041.36,0.0%,0.0%,5.5%,4.8%,18.6%,4.3%,33.2%,17.1%,11.8%,4.8%,8
317011457,Toowoomba - East,9757.00,1045.31,2.2%,0.0%,11.7%,1.7%,13.3%,13.5%,2.2%,19.6%,12.5%,23.4%,8
317011458,Toowoomba - West,13005.00,1039.15,0.0%,0.0%,9.6%,9.4%,10.1%,10.2%,7.1%,19.4%,32.1%,2.0%,8
318021490,Townsville City - North Ward,9059.00,1039.39,0.0%,7.4%,10.0%,12.9%,6.7%,5.2%,0.0%,16.9%,24.2%,16.7%,8
313041376,Upper Caboolture,3022.00,1048.78,0.0%,0.0%,0.0%,0.0%,0.0%,11.7%,54.1%,34.2%,0.0%,0.0%,8
313021369,Wamuran,3932.00,1041.56,0.0%,0.0%,0.0%,11.6%,6.0%,28.7%,5.0%,29.7%,19.0%,0.0%,8
305011112,West End,9620.00,1044.25,0.0%,4.2%,5.8%,13.2%,11.2%,9.4%,9.1%,9.6%,13.2%,24.5%,8
311021310,Wolffdene - Bahrs Scrub,6105.00,1044.83,0.0%,0.0%,0.0%,0.0%,23.0%,14.5%,17.1%,30.2%,5.2%,10.0%,8
302021027,Aspley,12318.00,1052.21,2.9%,0.0%,2.1%,2.4%,5.3%,3.7%,26.9%,15.0%,20.6%,21.2%,9
309101267,Benowa,8741.00,1054.26,4.6%,0.0%,4.1%,5.5%,0.0%,5.3%,11.3%,18.9%,28.7%,21.6%,9
318021470,Bohle Plains,7233.00,1071.33,0.0%,0.0%,0.0%,0.0%,0.0%,4.5%,16.0%,34.8%,27.1%,17.7%,9
306011138,Brinsmead,5362.00,1073.53,0.0%,0.0%,0.0%,0.0%,5.6%,0.0%,28.8%,14.6%,34.0%,17.0%,9
309011224,Broadbeach Waters,7779.00,1061.43,0.0%,0.0%,0.0%,6.7%,0.0%,9.1%,8.3%,44.2%,28.7%,3.0%,9
316011414,Buderim - South,16323.00,1059.36,1.7%,0.0%,0.0%,11.0%,4.9%,9.3%,10.6%,12.0%,28.5%,22.0%,9
309101268,Bundall,4523.00,1064.95,0.0%,4.2%,0.0%,0.0%,0.0%,19.5%,18.1%,0.0%,27.0%,31.2%,9
313021364,Burpengary - East,3970.00,1056.62,0.0%,0.0%,0.0%,0.0%,12.0%,0.0%,14.0%,64.8%,9.3%,0.0%,9
317011445,Cambooya - Wyreema,6957.00,1059.05,0.0%,0.0%,5.7%,15.7%,5.3%,0.0%,24.2%,6.4%,0.0%,42.7%,9
303011048,Cannon Hill,5720.00,1065.36,3.1%,0.0%,0.0%,0.0%,5.7%,0.0%,6.6%,37.0%,34.7%,12.9%,9
303011049,Carina,11025.00,1058.48,0.0%,0.0%,0.0%,4.0%,5.7%,19.4%,10.1%,19.9%,27.7%,13.2%,9
302011024,Carseldine,9037.00,1057.21,4.4%,0.0%,0.0%,0.0%,0.0%,14.8%,16.0%,10.9%,36.6%,17.3%,9
302021029,Chermside West,6252.00,1065.34,0.0%,0.0%,0.0%,0.0%,0.0%,8.1%,37.8%,28.5%,11.6%,14.0%,9
305031122,Clayfield,10473.00,1071.27,0.0%,0.0%,0.0%,0.0%,5.9%,5.1%,10.1%,44.9%,20.9%,13.1%,9
309081259,Clear Island Waters,4120.00,1066.84,0.0%,0.0%,0.0%,0.0%,0.0%,19.9%,21.0%,20.4%,13.1%,25.5%,9
304031093,Corinda,4863.00,1064.00,0.0%,0.0%,0.0%,22.5%,0.0%,14.9%,0.0%,11.5%,7.7%,43.5%,9
311051324,Cornubia - Carbrook,8455.00,1071.80,2.3%,0.0%,0.0%,0.0%,2.5%,12.0%,15.4%,10.9%,21.8%,35.1%,9
309051243,Currumbin Valley - Tallebudgera,7147.00,1061.57,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,19.1%,41.8%,27.9%,0.0%,9
318021474,Douglas,7747.00,1071.00,0.0%,0.0%,3.1%,0.0%,7.9%,8.0%,0.0%,25.4%,12.4%,43.2%,9
302031037,Eagle Farm - Pinkenba,822.00,1056.42,0.0%,0.0%,0.0%,31.9%,0.0%,0.0%,0.0%,0.0%,11.9%,56.2%,9
305021115,East Brisbane,5786.00,1060.45,0.0%,0.0%,0.0%,8.8%,5.6%,13.3%,8.5%,17.9%,24.4%,21.3%,9
302011025,Everton Park,8798.00,1057.27,0.0%,0.0%,0.0%,10.3%,13.1%,6.8%,6.7%,18.7%,26.1%,18.4%,9
308031209,Glenlee - Rockyview,4984.00,1071.50,0.0%,0.0%,0.0%,8.9%,0.0%,7.2%,7.4%,12.5%,28.5%,35.4%,9
303021055,Greenslopes,9121.00,1054.27,0.0%,0.0%,0.0%,0.0%,25.6%,10.8%,10.6%,23.6%,17.4%,12.1%,9
303021057,Holland Park West,6338.00,1074.84,0.0%,0.0%,0.0%,0.0%,11.1%,8.2%,4.9%,11.6%,30.8%,33.4%,9
309071253,Hope Island,11232.00,1076.13,0.0%,0.0%,0.0%,0.0%,3.3%,6.1%,30.4%,9.7%,18.6%,32.0%,9
304031094,Indooroopilly,12134.00,1068.20,0.0%,0.0%,0.0%,6.8%,7.2%,19.0%,6.2%,8.3%,19.4%,33.1%,9
305011108,Kangaroo Point,8214.00,1058.96,0.0%,5.5%,0.0%,5.6%,5.7%,4.6%,14.4%,20.8%,22.7%,20.8%,9
302021031,Kedron - Gordon Park,13712.00,1066.01,0.0%,0.0%,0.0%,0.0%,7.4%,12.9%,17.1%,24.3%,18.6%,19.8%,9
309101269,Main Beach,3883.00,1061.33,0.0%,0.0%,0.0%,0.0%,0.0%,15.1%,20.7%,39.0%,25.2%,0.0%,9
304011082,Middle Park - Jamboree Heights,7062.00,1070.64,0.0%,0.0%,0.0%,0.0%,3.8%,15.1%,4.3%,40.2%,16.0%,20.7%,9
304041101,Mitchelton,8362.00,1059.46,3.2%,0.0%,0.0%,8.3%,5.7%,9.4%,6.8%,20.3%,24.8%,21.4%,9
313041374,Morayfield,4825.00,1052.91,0.0%,0.0%,0.0%,5.8%,9.1%,5.7%,11.8%,45.3%,22.2%,0.0%,9
305021117,Morningside - Seven Hills,12612.00,1069.69,0.0%,0.0%,0.0%,0.0%,8.0%,4.0%,19.2%,23.1%,27.9%,17.8%,9
301031017,Murarrie,4118.00,1055.24,0.0%,0.0%,11.1%,5.8%,23.3%,0.0%,8.7%,8.4%,0.0%,42.7%,9
305011109,New Farm,12791.00,1068.62,0.0%,2.3%,3.0%,0.0%,12.7%,0.0%,13.0%,11.9%,37.7%,19.5%,9
305031127,Newmarket,4979.00,1061.75,0.0%,0.0%,6.1%,0.0%,20.3%,0.0%,0.0%,27.6%,25.2%,20.7%,9
316051434,Noosa Heads,4484.00,1056.88,0.0%,0.0%,0.0%,6.3%,0.0%,11.4%,40.9%,14.7%,8.1%,18.7%,9
318021487,Oonoonba,6556.00,1056.79,0.0%,8.4%,3.8%,10.8%,0.0%,6.0%,9.3%,11.4%,18.6%,31.7%,9
301021008,Ormiston,5793.00,1063.81,0.0%,0.0%,0.0%,22.1%,0.0%,0.0%,0.0%,25.2%,28.2%,24.5%,9
309031239,Paradise Point - Hollywell,9399.00,1053.61,0.0%,0.0%,5.1%,8.7%,3.8%,10.8%,16.7%,24.2%,7.7%,23.0%,9
303051075,Parkinson - Drewvale,15585.00,1066.29,0.0%,0.0%,2.4%,0.0%,3.2%,12.9%,10.7%,18.1%,41.8%,10.8%,9
316051544,Peregian Springs,7337.00,1056.80,0.0%,0.0%,0.0%,0.0%,0.0%,38.3%,6.5%,22.8%,32.4%,0.0%,9
306011141,Redlynch,12808.00,1065.19,0.0%,3.4%,0.0%,3.1%,8.2%,10.6%,10.2%,2.8%,33.5%,28.2%,9
309051245,Reedy Creek - Andrews,7976.00,1059.99,0.0%,0.0%,16.0%,4.4%,0.0%,0.0%,18.3%,8.5%,17.2%,35.6%,9
310031294,Ripley,4624.00,1067.70,0.0%,0.0%,0.0%,0.0%,7.6%,9.3%,21.0%,0.0%,37.2%,24.9%,9
304011083,Riverhills,4042.00,1060.62,0.0%,0.0%,0.0%,0.0%,0.0%,16.6%,22.0%,19.5%,41.9%,0.0%,9
311051327,Shailer Park,11647.00,1069.67,0.0%,0.0%,0.0%,0.0%,5.2%,13.9%,11.9%,19.7%,19.4%,30.0%,9
310041304,Springfield Lakes,15429.00,1056.38,0.0%,0.0%,0.0%,0.0%,2.7%,3.0%,33.6%,37.7%,23.0%,0.0%,9
301021012,Thornlands,14694.00,1069.79,1.5%,0.0%,0.0%,1.9%,6.2%,14.1%,10.9%,3.1%,29.9%,32.3%,9
315011403,Weipa,3899.00,1064.47,0.0%,0.0%,0.0%,0.0%,0.0%,9.6%,11.8%,43.7%,34.9%,0.0%,9
301011006,Wellington Point,11576.00,1065.98,0.0%,0.0%,0.0%,3.1%,3.9%,12.7%,15.5%,11.2%,34.8%,18.8%,9
305031130,Windsor,7190.00,1070.16,0.0%,0.0%,0.0%,0.0%,11.6%,5.4%,19.6%,15.6%,23.6%,24.2%,9
303031066,Wishart,10815.00,1060.78,0.0%,0.0%,0.0%,7.6%,3.8%,13.7%,17.4%,26.7%,17.4%,13.5%,9
305031131,Wooloowin - Lutwyche,9745.00,1064.35,0.0%,0.0%,0.0%,5.1%,8.1%,14.2%,14.6%,15.4%,27.5%,15.1%,9
309061250,Worongary - Tallai,7884.00,1056.03,0.0%,0.0%,7.5%,5.2%,0.0%,5.9%,17.8%,33.9%,20.0%,9.7%,9
303021059,Yeronga,9490.00,1067.56,0.0%,0.0%,9.3%,0.0%,5.8%,19.1%,12.7%,3.8%,2.8%,46.4%,9
314011382,Albany Creek,15800.00,1086.27,0.0%,3.1%,0.0%,2.8%,0.0%,6.2%,3.8%,10.1%,29.9%,44.2%,10
305031119,Albion,2791.00,1084.19,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,46.7%,38.4%,14.9%,10
305031120,Alderley,5999.00,1090.02,0.0%,0.0%,0.0%,0.0%,8.4%,0.0%,4.8%,23.8%,9.6%,53.4%,10
318021468,Annandale,10065.00,1076.79,0.0%,0.0%,0.0%,0.0%,3.0%,0.0%,22.8%,21.1%,23.1%,30.0%,10
305031121,Ascot,5145.00,1082.44,0.0%,0.0%,0.0%,0.0%,8.2%,22.1%,9.8%,8.9%,10.1%,41.0%,10
305041132,Ashgrove,13315.00,1108.56,0.0%,0.0%,0.0%,0.0%,3.4%,0.0%,0.0%,5.5%,16.3%,74.8%,10
305041133,Auchenflower,5499.00,1102.45,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6.9%,54.5%,38.6%,10
305021113,Balmoral,4228.00,1092.50,0.0%,0.0%,0.0%,0.0%,0.0%,14.5%,10.2%,0.0%,9.5%,65.8%,10
305041134,Bardon,9716.00,1114.56,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.2%,85.8%,10
304021086,Bellbowrie - Moggill,10103.00,1097.38,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.5%,18.6%,20.1%,58.8%,10
301011002,Belmont - Gumdale,7375.00,1089.11,0.0%,0.0%,0.0%,4.0%,4.2%,3.2%,0.0%,3.1%,36.2%,49.3%,10
302011023,Bridgeman Downs,8142.00,1109.12,0.0%,0.0%,0.0%,3.3%,0.0%,0.0%,0.0%,11.1%,10.1%,75.6%,10
302031036,Brisbane Airport,196.00,1095.15,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,10
304021087,Brookfield - Kenmore Hills,6748.00,1115.87,0.0%,0.0%,0.0%,0.0%,0.0%,8.3%,4.8%,0.0%,0.0%,86.8%,10
305021114,Bulimba,6704.00,1105.24,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,7.3%,7.3%,13.3%,72.2%,10
303011047,Camp Hill,11177.00,1101.49,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,17.2%,16.2%,66.6%,10
303011051,Carindale,15710.00,1092.45,0.0%,0.0%,0.0%,0.0%,3.4%,5.6%,6.2%,13.3%,15.9%,55.6%,10
314011383,Cashmere,18805.00,1090.16,0.0%,0.0%,0.0%,4.0%,0.0%,1.2%,7.5%,10.1%,26.3%,50.9%,10
304021088,Chapel Hill,10311.00,1113.99,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4.5%,0.0%,8.4%,87.2%,10
304031092,Chelmer - Graceville,7411.00,1116.66,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,10
303021053,Coorparoo,16040.00,1081.45,0.0%,0.0%,0.0%,0.0%,2.0%,10.0%,17.3%,18.2%,15.9%,36.6%,10
314011384,Dayboro,8489.00,1080.26,0.0%,0.0%,0.0%,0.0%,3.5%,0.0%,10.5%,15.5%,39.4%,31.0%,10
314011385,Eatons Hill,7973.00,1115.39,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.8%,17.9%,78.2%,10
304021089,Fig Tree Pocket,4045.00,1127.12,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,10
305031123,Grange,4248.00,1113.29,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.7%,74.3%,10
305031124,Hamilton (Qld),6290.00,1089.98,0.0%,0.0%,0.0%,0.0%,0.0%,6.7%,17.8%,0.0%,43.9%,31.6%,10
305021116,Hawthorne,4971.00,1110.26,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,23.9%,0.0%,76.1%,10
305031125,Hendra,4659.00,1093.32,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.4%,20.4%,59.3%,10
317011450,Highfields,13180.00,1083.48,0.0%,0.0%,0.0%,0.0%,6.2%,0.0%,10.9%,16.3%,29.0%,37.7%,10
304011081,Jindalee - Mount Ommaney,7514.00,1089.29,0.0%,0.0%,0.0%,0.0%,0.0%,8.7%,3.3%,0.0%,56.2%,31.8%,10
310031289,Karalee - Barellan Point,5511.00,1080.08,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,13.1%,28.7%,43.1%,15.1%,10
310031290,Karana Downs,6089.00,1091.51,0.0%,0.0%,0.0%,0.0%,0.0%,7.6%,0.0%,20.0%,29.2%,43.2%,10
304021090,Kenmore,8765.00,1098.41,0.0%,0.0%,0.0%,0.0%,0.0%,5.2%,0.0%,2.6%,46.4%,45.8%,10
302011026,McDowall,7541.00,1098.73,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6.5%,12.1%,22.6%,58.8%,10
317011452,Middle Ridge,7141.00,1084.46,0.0%,0.0%,0.0%,0.0%,0.0%,11.8%,11.3%,22.5%,18.1%,36.3%,10
305031128,Newstead - Bowen Hills,10638.00,1102.13,0.0%,0.0%,3.7%,0.0%,0.0%,18.7%,0.0%,0.0%,11.0%,66.6%,10
305021118,Norman Park,6298.00,1107.99,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,7.2%,37.8%,55.0%,10
305041135,Paddington - Milton,10788.00,1102.96,0.0%,0.0%,0.0%,0.0%,0.0%,2.5%,0.0%,8.3%,24.3%,65.0%,10
304021091,Pinjarra Hills - Pullenvale,5398.00,1125.90,0.0%,0.0%,0.0%,5.7%,0.0%,0.0%,0.0%,0.0%,0.0%,94.3%,10
305041136,Red Hill (Qld),5744.00,1083.89,0.0%,0.0%,0.0%,0.0%,0.0%,6.8%,16.3%,15.8%,24.2%,36.9%,10
303031064,Rochedale - Burbank,6323.00,1099.68,0.0%,0.0%,0.0%,4.1%,0.0%,4.2%,0.0%,2.1%,18.2%,71.5%,10
314011387,Samford Valley,11754.00,1112.10,0.0%,0.0%,0.0%,0.0%,0.0%,2.7%,0.0%,6.1%,12.4%,78.8%,10
304011084,Seventeen Mile Rocks - Sinnamon Park,9556.00,1095.04,4.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,16.9%,24.3%,53.9%,10
301021011,Sheldon - Mount Cotton,7909.00,1095.63,0.0%,0.0%,0.0%,0.0%,3.2%,8.5%,3.2%,9.7%,22.4%,53.0%,10
304031095,Sherwood,5642.00,1080.89,0.0%,0.0%,8.6%,0.0%,0.0%,13.3%,0.0%,9.5%,13.3%,55.3%,10
304031097,Taringa,8451.00,1078.27,0.0%,0.0%,0.0%,0.0%,3.5%,0.0%,9.1%,30.0%,34.6%,22.7%,10
303041071,Tarragindi,10670.00,1095.78,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,9.6%,7.3%,38.2%,45.0%,10
304041103,The Gap,16477.00,1099.83,0.0%,0.0%,0.0%,0.0%,1.4%,1.9%,0.0%,13.7%,24.4%,58.7%,10
314011386,The Hills District,23369.00,1084.72,0.0%,0.0%,0.0%,0.0%,2.5%,5.6%,4.5%,26.2%,26.2%,35.0%,10
305041137,Toowong,10800.00,1087.20,0.0%,0.0%,0.0%,0.0%,0.0%,6.2%,12.4%,16.0%,17.1%,48.2%,10
304041104,Upper Kedron - Ferny Grove,9907.00,1091.21,0.0%,0.0%,0.0%,7.8%,2.2%,0.0%,0.0%,6.6%,18.2%,65.2%,10
301031019,Wakerley,8997.00,1111.71,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,7.2%,19.6%,73.2%,10
302021034,Wavell Heights,9786.00,1082.25,0.0%,0.0%,0.0%,0.0%,0.0%,6.4%,0.0%,30.0%,50.0%,13.6%,10
304011085,Westlake,4352.00,1107.96,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,28.9%,71.1%,10
305031129,Wilston,3934.00,1103.20,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,16.5%,24.0%,59.5%,10
